Problem - C:\Koba\Science\UCON\Experiments-with-line-search\SparseSystems\Matrices\Kuu.mtx
CPU time: 197748
x[0   ]=218.392              x[1775]=351.704              x[3550]=67.2444              x[5325]=253.875              
x[1662]=153.836              x[3437]=131.827              x[5212]=162.653              x[6987]=16.2126              
x[1663]=356.371              x[3438]=58.5472              x[5213]=294.263              x[6988]=6.54466              
x[1664]=153.766              x[3439]=131.051              x[5214]=170.532              x[6989]=16.7058              
x[1665]=356.16               x[3440]=58.2519              x[5215]=297.203              x[6990]=6.94755              
x[1666]=153.743              x[3441]=130.269              x[5216]=179.235              x[6991]=17.1746              
x[1667]=356.068              x[3442]=57.6977              x[5217]=300.037              x[6992]=7.37434              
x[1668]=153.773              x[3443]=129.354              x[5218]=188.736              x[6993]=17.6627              
x[1669]=356.099              x[3444]=57.1373              x[5219]=302.653              x[6994]=7.60871              
x[1670]=153.661              x[3445]=128.417              x[5220]=198.646              x[6995]=18.0286              
x[1671]=356.146              x[3446]=56.57                x[5221]=304.701              x[6996]=7.8634               
x[1672]=153.618              x[3447]=127.468              x[5222]=209.278              x[6997]=18.3817              
x[1673]=356.322              x[3448]=55.7032              x[5223]=306.272              x[6998]=8.16541              
x[1674]=153.652              x[3449]=126.382              x[5224]=220.661              x[6999]=18.7652              
x[1675]=356.632              x[3450]=54.7823              x[5225]=307.206              x[7000]=8.29373              
x[1676]=153.564              x[3451]=125.27               x[5226]=-4.00445             x[7001]=19.0366              
x[1677]=356.965              x[3452]=53.7973              x[5227]=215.223              x[7002]=8.45758              
x[1678]=153.566              x[3453]=124.147              x[5228]=9.09227              x[7003]=19.3042              
x[1679]=357.433              x[3454]=52.444               x[5229]=217.302              x[7004]=8.68122              
x[1680]=153.663              x[3455]=122.891              x[5230]=20.9591              x[7005]=19.6105              
x[1681]=358.038              x[3456]=50.9525              x[5231]=218.822              x[7006]=8.74151              
x[1682]=153.655              x[3457]=121.62               x[5232]=31.7726              x[7007]=19.8117              
x[1683]=358.668              x[3458]=49.2928              x[5233]=219.97               x[7008]=8.84602              
x[1684]=153.754              x[3459]=120.354              x[5234]=41.3238              x[7009]=20.0157              
x[1685]=359.435              x[3460]=47.1352              x[5235]=220.754              x[7010]=9.01769              
x[1686]=153.965              x[3461]=118.984              x[5236]=49.9475              x[7011]=20.2639              
x[1687]=360.335              x[3462]=44.6747              x[5237]=221.389              x[7012]=9.03232              
x[1688]=154.086              x[3463]=117.642              x[5238]=57.7207              x[7013]=20.4121              
x[1689]=361.257              x[3464]=41.8363              x[5239]=221.966              x[7014]=9.09662              
x[1690]=154.329              x[3465]=116.368              x[5240]=64.4313              x[7015]=20.5676              
x[1691]=362.307              x[3466]=38.2312              x[5241]=222.418              x[7016]=9.23286              
x[1692]=154.696              x[3467]=115.074              x[5242]=70.4115              x[7017]=20.7712              
x[1693]=363.482              x[3468]=33.976               x[5243]=222.9                x[7018]=9.21626              
x[1694]=154.986              x[3469]=113.921              x[5244]=75.7434              x[7019]=20.8785              
x[1695]=364.663              x[3470]=28.9004              x[5245]=223.451              x[7020]=9.25309              
x[1696]=155.408              x[3471]=112.975              x[5246]=80.2196              x[7021]=20.9961              
x[1697]=365.956              x[3472]=22.5041              x[5247]=223.963              x[7022]=9.36522              
x[1698]=155.964              x[3473]=112.165              x[5248]=84.1728              x[7023]=21.1648              
x[1699]=367.353              x[3474]=14.79                x[5249]=224.553              x[7024]=9.32758              
x[1700]=156.452              x[3475]=111.636              x[5250]=87.6814              x[7025]=21.2396              
x[1701]=368.731              x[3476]=5.49383              x[5251]=225.235              x[7026]=9.34619              
x[1702]=157.078              x[3477]=111.385              x[5252]=90.53                x[7027]=21.3271              
x[1703]=370.19               x[3478]=-5.93351             x[5253]=225.88               x[7028]=9.4427               
x[1704]=157.843              x[3479]=111.222              x[5254]=93.0396              x[7029]=21.4677              
x[1705]=371.717              x[3480]=-19.4866             x[5255]=226.591              x[7030]=9.3919               
x[1706]=158.54               x[3481]=111.078              x[5256]=95.2742              x[7031]=21.5164              
x[1707]=373.185              x[3482]=-35.3554             x[5257]=227.375              x[7032]=9.39966              
x[1708]=159.373              x[3483]=110.759              x[5258]=97.0031              x[7033]=21.5792              
x[1709]=374.689              x[3484]=190.462              x[5259]=228.097              x[7034]=9.48756              
x[1710]=160.341              x[3485]=208.076              x[5260]=98.5314              x[7035]=21.6967              
x[1711]=376.209              x[3486]=171                  x[5261]=228.861              x[7036]=9.43032              
x[1712]=161.234              x[3487]=203.493              x[5262]=99.9079              x[7037]=21.7235              
x[1713]=377.613              x[3488]=153.845              x[5263]=229.673              x[7038]=9.43376              
x[1714]=162.251              x[3489]=198.363              x[5264]=100.887              x[7039]=21.7656              
x[1715]=378.991              x[3490]=138.97               x[5265]=230.403              x[7040]=9.51948              
x[1716]=163.389              x[3491]=193.053              x[5266]=101.762              x[7041]=21.8633              
x[1717]=380.318              x[3492]=126.08               x[5267]=231.157              x[7042]=9.46221              
